"","...1","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track.name","track.popularity","listener_id"
"1",1,0.903,0.539,9,-8.565,1,0.367,0.0889,0,0.305,0.758,139.926,179493,4,"Bank",44,"Kiran"
"2",2,0.774,0.316,4,-15.797,0,0.252,0.387,0.000111,0.0733,0.321,109.964,242991,4,"Ten Ten",24,"Kiran"
"3",3,0.426,0.491,5,-8.345,1,0.0394,0.137,0.00573,0.116,0.214,143.724,383152,4,"Hapi (with Benji. & EARTHGANG feat. Mereba, Big Rube)",35,"Kiran"
"4",4,0.467,0.934,2,-2.253,1,0.0588,0.00561,0.00186,0.107,0.135,149.967,187000,4,"Cheatcode",45,"Kiran"
"5",5,0.25,0.707,4,-6.118,1,0.0304,0.011,0.712,0.152,0.262,90.081,358741,4,"Ugo",46,"Kiran"
"6",6,0.87,0.446,4,-9.062,0,0.271,0.22,5.77e-05,0.236,0.512,119.981,137000,4,"Compare",51,"Kiran"
"7",7,0.416,0.248,10,-14.62,1,0.14,0.647,0.427,0.113,0.134,161.667,433916,4,"A&W",78,"Kiran"
"8",8,0.895,0.878,6,-6.82,0,0.297,0.00843,3.98e-06,0.522,0.902,132.122,218053,4,"It's a Kuruption Ting",41,"Kiran"
"9",9,0.137,0.302,0,-10.41,1,0.033,0.361,0.886,0.27,0.0847,142.483,213125,3,"Dream 1.2.2 [2016 Export Wav]",51,"Kiran"
"10",10,0.839,0.354,1,-14.909,1,0.125,0.216,0.00191,0.105,0.573,135.924,134762,4,"Nice 2 Know U 1.5.3 [2020 Export Wav]",54,"Kiran"
"11",11,0.7,0.721,8,-5.824,1,0.0338,0.128,0.285,0.101,0.128,123.996,293282,4,"Why 1.3 [2012 Export Wav]",54,"Kiran"
"12",12,0.527,0.869,9,-4.63,1,0.0789,0.085,0.0884,0.473,0.457,149.964,121600,4,"OURS",48,"Kiran"
"13",13,0.546,0.942,11,-6.761,0,0.856,0.37,0,0.376,0.405,93.936,146233,4,"Counting Sheep (V2) [2018 Export Wav] feat. Injury Reserve",57,"Kiran"
"14",14,0.81,0.864,11,-5.086,1,0.0374,0.0339,0.927,0.0593,0.768,124.992,168000,4,"One Three Nine",50,"Kiran"
"15",15,0.444,0.557,0,-5.476,1,0.0602,0.453,0,0.152,0.296,115.058,234910,4,"Never Be Like You (feat. Kai)",63,"Kiran"
"16",16,0.566,0.547,1,-9.777,0,0.135,0.132,0.000166,0.538,0.267,70,173372,4,"THE_EVIL_THAT_MEN_DO",53,"Kiran"
"17",17,0.752,0.822,1,-5.837,1,0.098,0.0356,0.0615,0.14,0.454,126.068,190476,4,"Selecta",55,"Kiran"
"18",18,0.584,0.608,10,-9.09,0,0.454,0.499,0,0.137,0.482,134.418,178286,4,"Old Ways",31,"Kiran"
"19",19,0.84,0.717,10,-4.368,0,0.105,0.12,1.29e-05,0.298,0.675,96.224,258640,4,"I Get Around",55,"Kiran"
"20",20,0.698,0.5,9,-12.801,1,0.214,0.424,1.1e-05,0.108,0.172,101.04,295733,4,"Without You",41,"Kiran"
"21",21,0.915,0.591,8,-10.536,0,0.608,0.072,0,0.0947,0.867,139.915,185339,4,"Jansport",34,"Kiran"
"22",22,0.692,0.502,8,-11.866,1,0.0524,0.00542,0.894,0.161,0.463,114.146,258511,4,"Akeldama",31,"Kiran"
"23",23,0.919,0.507,4,-8.479,0,0.0888,0.0776,0,0.143,0.511,134.971,201360,4,"Meant to Be (feat. Jacob Hemphill)",44,"Kiran"
"24",24,0.34,0.823,4,-7.181,1,0.0455,0.0854,0.668,0.141,0.0389,119.972,246405,4,"Hopeful",0,"Kiran"
"25",25,0.733,0.872,2,-5.683,0,0.132,0.0239,0.00304,0.38,0.195,128.007,195707,4,"Butterflies",59,"Kiran"
"26",26,0.719,0.919,8,-3.962,0,0.171,0.00265,0.00165,0.144,0.841,80.005,208688,4,"TOO BIZARRE (juked)",58,"Kiran"
"27",27,0.703,0.877,8,-5.736,1,0.0461,0.0387,0.737,0.21,0.424,145.047,215172,4,"A Street I Know",59,"Kiran"
"28",28,0.697,0.633,5,-5.288,0,0.1,0.00182,0.2,0.109,0.369,140.216,185571,4,"Tears",61,"Kiran"
"29",29,0.635,0.967,0,-4.529,1,0.0753,0.00131,0.211,0.325,0.576,129.95,303218,4,"Still Here (with the ones that I came with)",58,"Kiran"
"30",30,0.683,0.786,10,-4.721,0,0.139,0.0621,0,0.184,0.282,75,216000,4,"Hydrate",59,"Kiran"
"31",31,0.889,0.6,9,-10.603,1,0.144,0.0145,0,0.08,0.501,123.978,126774,4,"RATATA",67,"Kiran"
"32",32,0.706,0.55,5,-12.764,0,0.0407,0.0477,0.0161,0.109,0.637,145.001,205241,4,"Inhale Exhale",60,"Kiran"
"33",33,0.525,0.827,6,-5.489,1,0.404,0.0327,0,0.168,0.693,101.042,156947,4,"Go DJ",46,"Kiran"
"34",34,0.712,0.667,7,-7.121,1,0.146,0.377,2e-06,0.247,0.635,155.957,215347,4,"UP",0,"Kiran"
"35",35,0.757,0.713,1,-4.467,0,0.323,0.156,1.25e-06,0.182,0.304,107.186,185103,4,"Cocktail",36,"Kiran"
"36",36,0.695,0.803,10,-3.841,0,0.296,0.357,1.22e-06,0.132,0.681,131.326,204148,4,"Build",31,"Kiran"
"37",37,0.572,0.79,0,-6.573,1,0.461,0.438,0,0.989,0.416,79.87,234893,4,"Momma Told Me",36,"Kiran"
"38",38,0.679,0.485,1,-13.315,0,0.494,0.513,0,0.324,0.832,76.416,336980,4,"Monday",40,"Kiran"
"39",39,0.736,0.783,1,-6.765,1,0.0504,0.00476,0.0055,0.343,0.179,127.998,234411,4,"Unholy (feat. Kim Petras) - Disclosure Remix",63,"Kiran"
"40",40,0.551,0.865,4,-5.913,0,0.037,0.0319,0.394,0.311,0.177,172.053,131229,4,"Summertime",35,"Kiran"
"41",41,0.831,0.573,0,-6.515,0,0.0593,0.0435,5.22e-05,0.26,0.674,99.979,224813,4,"Feelin' Myself",36,"Kiran"
"42",42,0.521,0.398,2,-7.02,0,0.0426,0.78,0.000841,0.103,0.26,128.066,376493,4,"Lines",0,"Kiran"
"43",43,0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,236133,4,"Crazy In Love (feat. Jay-Z)",75,"Kiran"
"44",44,0.81,0.783,8,-6.18,1,0.0503,0.0166,0.0967,0.3,0.49,150.057,168332,4,"Good Space",29,"Kiran"
"45",45,0.633,0.55,9,-9.965,1,0.0924,0.649,0.000363,0.147,0.333,147.099,262248,4,"Heat Waves - Slowed",68,"Kiran"
"46",46,0.183,0.876,2,-5.495,0,0.051,0.0104,0.359,0.267,0.771,187.775,154720,4,"The Godfather",32,"Kiran"
"47",47,0.263,0.996,9,-3.588,1,0.17,0.012,0.79,0.0775,0.0738,108.018,184884,4,"Red Tsunami",17,"Kiran"
"48",48,0.731,0.563,2,-4.046,1,0.131,0.191,0.000423,0.296,0.452,184.004,240427,4,"Clumsy",59,"Kiran"
"49",49,0.911,0.666,2,-7.133,1,0.233,0.0669,4.12e-05,0.116,0.824,145.734,186907,4,"Take Da Charge",60,"Kiran"
"50",50,0.667,0.956,6,-5.563,1,0.287,0.00385,0.0184,0.303,0.17,129.991,279692,4,"Sacrifice",59,"Kiran"
"51",51,0.561,0.643,7,-9.791,1,0.0262,0.0186,0.582,0.103,0.748,130.126,228200,4,"Malibu Babylon",12,"Kiran"
"52",52,0.565,0.58,9,-6.951,0,0.0268,0.074,0.783,0.382,0.432,109.968,286787,4,"Isla de los Suenos",4,"Kiran"
"53",53,0.935,0.259,1,-11.088,0,0.0517,0.378,0.000463,0.0611,0.931,112.019,171696,4,"Electric U",61,"Kiran"
"54",54,0.655,0.714,7,-7.78,0,0.0572,0.0512,0.48,0.32,0.131,123.002,210562,4,"Food for the Soul",54,"Kiran"
"55",55,0.883,0.584,7,-2.102,0,0.0465,0.0392,4.39e-06,0.0869,0.784,144.975,161067,4,"Consideration",72,"Kiran"
"56",56,0.584,0.948,2,-2.247,1,0.0769,0.013,0.00133,0.126,0.398,140.103,218143,4,"Die A God",46,"Kiran"
"57",57,0.547,0.695,9,-4.969,1,0.0337,0.108,0.00301,0.14,0.641,144.684,241987,4,"'Cause I'm A Man",59,"Kiran"
"58",58,0.502,0.699,5,-5.528,1,0.0333,0.0055,0,0.171,0.354,111.024,185773,4,"Love/Paranoia",62,"Kiran"
"59",59,0.47,0.809,8,-6.74,1,0.0495,0.272,0.00671,0.0491,0.49,151.836,363240,4,"New Person, Same Old Mistakes",76,"Kiran"
"60",60,0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,173.906,222920,4,"Rude Boy",78,"Kiran"
"61",61,0.871,0.44,11,-6.25,0,0.0761,0.499,4.15e-06,0.114,0.799,137.996,221267,4,"Day 'N' Nite (nightmare)",66,"Kiran"
"62",62,0.775,0.726,9,-5.629,1,0.0369,0.0399,0.0235,0.11,0.206,126.999,185120,4,"Stereo Love - Radio Edit",0,"Kiran"
"63",63,0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,238920,4,"SOS",75,"Kiran"
"64",64,0.81,0.755,0,-6.408,1,0.199,0.291,0,0.0857,0.625,130.991,246573,4,"Glamorous",68,"Kiran"
"65",65,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,267267,4,"Rock Your Body",73,"Kiran"
"66",66,0.771,0.68,11,-5.881,0,0.224,0.277,1.18e-05,0.682,0.808,119.952,276160,4,"My Love (feat. T.I.)",69,"Kiran"
"67",67,0.791,0.713,5,-3.742,0,0.254,0.0163,0,0.189,0.514,130.012,192573,4,"DONTTRUSTME",50,"Kiran"
"68",68,0.607,0.805,11,-5.579,0,0.0608,0.00175,0,0.231,0.232,139.894,202667,4,"STARSTRUKK (feat. Katy Perry)",61,"Kiran"
"69",69,0.607,0.783,7,-4.41,1,0.0397,0.000683,0,0.0678,0.434,113.172,231173,4,"Let It Rock",62,"Kiran"
"70",70,0.762,0.692,5,-3.973,0,0.0438,0.113,0,0.094,0.397,114.906,208307,4,"Paparazzi",67,"Kiran"
"71",71,0.644,0.939,11,-3.486,0,0.0456,0.157,0,0.233,0.861,106.031,208107,4,"Paralyzer",71,"Kiran"
"72",72,0.606,0.591,0,-7.228,0,0.087,0.0756,0,0.328,0.477,95.802,252973,4,"Summer Love",64,"Kiran"
"73",73,0.738,0.673,10,-3.377,0,0.205,0.0463,0,0.0604,0.565,140.068,250667,4,"Kiss Kiss (feat. T-Pain)",0,"Kiran"
"74",74,0.662,0.507,5,-8.238,1,0.118,0.257,0,0.0465,0.676,86.412,223440,4,"My Boo",74,"Kiran"
"75",75,0.943,0.809,5,-4.23,0,0.0483,0.404,0,0.0787,0.96,118.968,213320,4,"Smack That",33,"Kiran"
"76",76,0.588,0.391,0,-8.596,0,0.0334,0.839,0,0.195,0.349,144.053,224630,4,"Unfaithful",0,"Kiran"
"77",77,0.582,0.57,6,-9.184,1,0.273,0.167,0,0.229,0.595,94.83,206853,4,"So Sick",30,"Kiran"
"78",78,0.951,0.597,0,-4.651,0,0.0669,0.104,0,0.0718,0.819,125.024,216467,4,"Temperature",0,"Kiran"
"79",79,0.803,0.454,8,-4.802,0,0.0294,0.352,0,0.0655,0.739,99.99,192213,4,"Me & U",71,"Kiran"
"80",80,0.779,0.64,7,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019,246960,4,"Pon de Replay",0,"Kiran"
"81",81,0.185,0.344,7,-9.378,1,0.0295,0.81,0,0.166,0.424,178.635,164160,3,"Ooo Baby Baby",59,"Kiran"
"82",82,0.407,0.943,11,-1.735,1,0.324,0.0363,0.0515,0.319,0.306,173.495,195862,4,"Realise",52,"Kiran"
"83",83,0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,229093,4,"Sugar, We're Goin Down",74,"Kiran"
"84",84,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4,"Pumped Up Kicks",79,"Kiran"
"85",85,0.693,0.57,9,-8.103,1,0.237,0.283,2.43e-06,0.282,0.502,109.958,198087,4,"Slow It Down (feat. Jordan Dennis)",16,"Kiran"
"86",86,0.748,0.546,3,-8.898,1,0.0368,0.579,0.695,0.0919,0.822,79.762,96400,4,"Fillmoe",37,"Kiran"
"87",87,0.681,0.647,1,-9.559,0,0.345,0.107,2.09e-06,0.352,0.614,168.012,2e+05,4,"Spit in Ur Face B",36,"Kiran"
"88",88,0.878,0.714,8,-6.344,1,0.239,0.0528,7.64e-06,0.143,0.636,150.029,195600,4,"Big Shot Cream Soda",70,"Kiran"
"89",89,0.516,0.877,1,-3.52,1,0.0435,0.00212,0,0.329,0.235,111.968,214587,4,"Stay",51,"Kiran"
"90",90,0.797,0.504,0,-6.538,1,0.114,0.0199,2.46e-05,0.198,0.178,114.994,128418,4,"O Pana!",66,"Kiran"
"91",91,0.77,0.819,0,-5.325,1,0.0946,0.00866,9.14e-05,0.293,0.228,129.96,214230,4,"Grayscale",49,"Kiran"
"92",92,0.403,0.965,6,-2.238,1,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,236293,4,"King For A Day",74,"Kiran"
"93",93,0.539,0.671,1,-8,0,0.0379,0.00387,0.766,0.361,0.225,86.993,234013,4,"Beg for Me",50,"Kiran"
"94",94,0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,236053,4,"Young And Beautiful",79,"Kiran"
"95",95,0.566,0.647,1,-6.815,0,0.0335,0.0477,0,0.121,0.22,111.96,264773,4,"Summertime Sadness",72,"Kiran"
"96",96,0.236,0.249,6,-9.595,0,0.0348,0.811,1e-06,0.087,0.181,72.847,281960,5,"Video Games",67,"Kiran"
"97",97,0.753,0.484,9,-7.519,1,0.258,0.0149,0,0.135,0.597,79.668,211560,4,"Caress Me Down",58,"Kiran"
"98",98,0.464,0.754,9,-6.653,0,0.128,0.465,1.57e-05,0.37,0.444,86.501,235627,4,"Soundtrack 2 My Life",63,"Kiran"
"99",99,0.399,0.696,4,-9.98,0,0.0297,0.00141,0.871,0.339,0.792,126.835,159444,4,"Pingpxng",45,"Kiran"
"100",100,0.847,0.601,11,-6.311,0,0.103,0.163,0.787,0.11,0.548,139.996,75429,4,"AirplaneMode",72,"Kiran"
"101",101,0.564,0.71,11,-4.92,0,0.0461,0.00125,0,0.109,0.393,91.972,225147,4,"Diamonds",73,"Kiran"
"102",102,0.651,0.647,1,-5.415,1,0.0654,0.437,0.175,0.205,0.345,152.069,203733,4,"Seek & Destroy",78,"Kiran"
"103",103,0.486,0.839,10,-4.5,1,0.158,0.327,0,0.048,0.398,165.948,296227,4,"Love The Way You Lie (Part II) - Pt. 2",59,"Kiran"
"104",104,0.475,0.577,7,-3.979,1,0.0341,0.219,0,0.121,0.319,169.897,251600,4,"California King Bed",45,"Kiran"
"105",105,0.788,0.71,11,-4.24,0,0.0426,0.113,1.22e-05,0.0638,0.632,125.919,235493,4,"Only Girl (In The World)",55,"Kiran"
"106",106,0.69,0.786,2,-2.959,1,0.0692,0.229,0,0.0797,0.583,100.049,263173,4,"What's My Name?",55,"Kiran"
"107",107,0.766,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.104,0.833,127.966,243533,4,"S&M",54,"Kiran"
"108",108,0.707,0.813,11,-4.515,0,0.0571,0.0863,0,0.168,0.722,124.921,238627,4,"Disturbia",77,"Kiran"
"109",109,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,267080,4,"Don't Stop The Music",79,"Kiran"
"110",110,0.378,0.566,9,-7.685,0,0.0482,0.149,0,0.382,0.196,87.691,328907,3,"Keep The Family Close",55,"Kiran"
"111",111,0.858,0.426,10,-8.879,0,0.0402,0.00586,0.761,0.0977,0.419,89.981,192897,4,"Take Me Where Your Heart Is",58,"Kiran"
"112",112,0.753,0.836,1,-5.506,0,0.044,0.101,0.000896,0.118,0.661,121.95,160850,4,"Afterparty",61,"Kiran"
"113",113,0.403,0.698,9,-5.058,0,0.0357,0.00171,0.00126,0.256,0.0833,159.869,252954,4,"Lullabies - Adventure Club Remix",49,"Kiran"
"114",114,0.846,0.891,1,-4.902,0,0.0652,0.000394,0.803,0.124,0.94,126.029,156216,4,"In The Yuma (feat. Aatig)",69,"Kiran"
"115",115,0.562,0.888,8,-5.647,0,0.0569,0.0172,8.85e-06,0.137,0.493,126.032,130952,4,"Fall Through",36,"Kiran"
"116",116,0.609,0.94,10,-6.097,1,0.0617,0.00124,0.269,0.15,0.238,128.001,188592,4,"Miracle Maker",65,"Kiran"
"117",117,0.637,0.863,1,-2.095,1,0.065,0.00284,9.06e-05,0.543,0.716,75.069,145600,4,"Let It Spin",39,"Kiran"
"118",118,0.676,0.56,4,-6.024,0,0.0643,0.0112,0.00403,0.137,0.551,178.555,219332,4,"Make It Better (feat. Smokey Robinson)",60,"Kiran"
"119",119,0.372,0.53,1,-9.519,1,0.116,0.229,0.000954,0.627,0.169,136.976,187125,4,"Lydia (please make it better)",48,"Kiran"
"120",120,0.641,0.563,6,-10.532,1,0.0566,0.296,0.924,0.122,0.171,122.001,350164,5,"Atlas",46,"Kiran"
"121",121,0.706,0.996,1,-0.37,0,0.171,0.0337,0.0955,0.332,0.606,140.136,156857,4,"BURN",10,"Kiran"
"122",122,0.783,0.81,10,-4.041,0,0.0794,0.0226,0.257,0.119,0.38,124.028,305817,4,"California - Chris Lake & Matroda Remix",40,"Kiran"
"123",123,0.794,0.684,1,-7.594,1,0.0668,0.00634,0.298,0.0881,0.542,123.024,168171,4,"Magic Carpet",48,"Kiran"
"124",124,0.795,0.797,10,-5.96,0,0.0634,0.00438,0.302,0.129,0.627,124.952,189614,4,"Rave Grave",41,"Kiran"
"125",125,0.707,0.893,7,-7.449,1,0.0543,0.00712,0.819,0.0802,0.159,130.009,498462,4,"The Sound Of Space",51,"Kiran"
"126",126,0.559,0.32,6,-7.694,1,0.0414,0.0644,0.132,0.173,0.497,147.366,341200,4,"Malibu 1992",59,"Kiran"
"127",127,0.302,0.557,9,-5.737,0,0.0326,0.063,0.344,0.118,0.103,113.563,411912,4,"the BLACK seminole.",71,"Kiran"
"128",128,0.598,0.476,1,-10.168,1,0.0275,0.161,0,0.0513,0.533,114.977,238240,4,"We Have No Secrets",34,"Kiran"
"129",129,0.884,0.334,1,-18.943,0,0.228,0.0476,0.0588,0.107,0.571,98.315,261267,4,"Rebirth Of Slick (Cool Like Dat)",56,"Kiran"
"130",130,0.858,0.767,7,-8.645,1,0.302,0.00666,0,0.0489,0.753,91.522,226800,4,"Ya Playin' Yaself",47,"Kiran"
"131",131,0.683,0.74,11,-6.041,0,0.0462,0.00228,0,0.238,0.65,129.515,281773,4,"Thuggish Ruggish Bone",65,"Kiran"
"132",132,0.708,0.305,9,-14.003,1,0.817,0.138,3.08e-06,0.139,0.691,174.154,259453,4,"Sound Bwoy Bureill",45,"Kiran"
"133",133,0.812,0.6,7,-9.414,1,0.254,0.00308,8.38e-06,0.173,0.555,97.338,226440,4,"Award Tour",61,"Kiran"
"134",134,0.804,0.823,1,-5.422,0,0.256,0.0812,0,0.0794,0.719,87.322,300200,4,"Temperature's Rising (feat. Crystal Johnson)",53,"Kiran"
"135",135,0.726,0.603,9,-8.283,0,0.0613,0.309,0.0519,0.102,0.284,122.024,250291,4,"Faisal (envelops me)",54,"Kiran"
"136",136,0.61,0.76,0,-7.028,1,0.0582,0.0411,0.00975,0.12,0.458,129.93,229000,4,"Roze (forgive)",55,"Kiran"
"137",137,0.648,0.775,5,-4.798,1,0.0694,0.0561,0,0.444,0.371,128.072,217266,4,"Billie (loving arms)",54,"Kiran"
"138",138,0.751,0.478,11,-10.046,0,0.0432,0.35,5.73e-05,0.102,0.381,119.948,200612,4,"halfway",16,"Kiran"
"139",139,0.533,0.496,6,-9.363,0,0.517,0.77,0.000164,0.0969,0.173,155.158,347987,4,"2009",66,"Kiran"
"140",140,0.779,0.937,9,-6.269,0,0.0496,0.0443,0.101,0.0912,0.49,125.025,185000,4,"San Frandisco",57,"Kiran"
"141",141,0.716,0.897,4,-7.185,0,0.0629,0.012,0.262,0.325,0.358,127.03,274142,4,"New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix",70,"Kiran"
"142",142,0.805,0.884,1,-4.584,0,0.0573,0.139,0.00774,0.0729,0.478,119.991,131240,4,"SHOOTERS",61,"Kiran"
"143",143,0.715,0.945,2,-6.464,0,0.0615,0.031,0.0845,0.268,0.599,132.005,238830,4,"Kammy (like i do)",57,"Kiran"
"144",144,0.687,0.413,6,-11.68,1,0.145,0.554,0.006,0.123,0.183,119.968,168245,4,"Chika (scared)",52,"Kiran"
"145",145,0.767,0.878,8,-4.581,1,0.0648,0.0249,0.0294,0.147,0.401,125.018,196797,4,"Hannah (the sun)",57,"Kiran"
"146",146,0.781,0.765,0,-8.228,1,0.221,0.163,0.00112,0.903,0.64,125.197,222250,4,"Tate (how i feel)",59,"Kiran"
"147",147,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,299613,4,"All Of The Lights",75,"Kiran"
"148",148,0.795,0.83,2,-5.358,1,0.0332,0.00102,0.0345,0.0964,0.601,127.008,257056,3,"Kiss It Better",54,"Kiran"
"149",149,0.716,0.917,6,-5.091,1,0.0331,0.123,0.396,0.0628,0.751,124.032,160669,4,"Welcome To The People",62,"Kiran"
"150",150,0.405,0.808,0,-3.867,0,0.0355,0.18,0.000412,0.133,0.32,122.043,232129,4,"Define",54,"Kiran"
"151",151,0.542,0.487,1,-9.53,1,0.0286,0.0544,0.000885,0.0872,0.119,111.307,216631,4,"Her Way",76,"Kiran"
"152",152,0.584,0.596,7,-5.036,0,0.0722,0.0432,4.87e-06,0.0973,0.0427,119.682,228000,4,"Painted",30,"Kiran"
"153",153,0.855,0.872,0,-1.261,1,0.324,0.0851,0.0148,0.169,0.306,75.011,183775,4,"Death Wish",0,"Kiran"
"154",154,0.663,0.381,5,-9.129,0,0.0346,0.362,0.000321,0.131,0.24,120.057,241120,4,"Something Tells Me",54,"Kiran"
"155",155,0.463,0.561,10,-6.943,1,0.235,0.469,0,0.157,0.35,85.148,475827,4,"Perfect Circle / God Speed",55,"Kiran"
"156",156,0.672,0.868,11,-6.525,0,0.0412,0.00185,0.492,0.244,0.491,126.03,153183,4,"Lost",61,"Kiran"
"157",157,0.862,0.484,9,-13.12,0,0.0867,0.0112,0.00433,0.316,0.542,124.928,126720,4,"Fake ID (Coke & Rum Remix)",66,"Kiran"
"158",158,0.809,0.685,4,-10.194,0,0.0864,0.0842,0.918,0.0641,0.231,123.498,439190,4,"Alles",36,"Kiran"
"159",159,0.654,0.776,10,-7.573,0,0.156,0.00727,0.00478,0.206,0.135,122.011,192295,4,"Heavy Hearted",48,"Kiran"
"160",160,0.626,0.85,6,-4.601,0,0.0336,0.134,0.00111,0.235,0.335,122.012,178042,4,"Streets",14,"Kiran"
