danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.name,track.popularity,listener_id
0.501,0.674,5,-6.363,1,0.0408,0.00346,3.56e-5,0.282,0.152,155.051,200838,4,I’m Ready (with Demi Lovato),60,Erica
0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-6,0.0812,0.541,92.875,170640,4,I Forgot That You Existed,69,Erica
0.648,0.641,7,-5.521,1,0.0389,0.00565,3.63e-6,0.109,0.505,184.021,180348,4,Who's Laughing Now,0,Erica
0.762,0.585,8,-8.819,1,0.102,0.478,0,0.113,0.303,140.005,180240,4,Keep On,50,Erica
0.612,0.619,2,-5.702,1,0.0437,0.602,0,0.0866,0.469,99.71,213960,4,Love Myself,53,Erica
0.637,0.666,10,-6.773,0,0.0494,0.161,0,0.108,0.529,104.02,213869,4,Diamonds,64,Erica
0.725,0.668,5,-7.286,0,0.055,0.0932,2.33e-6,0.112,0.566,82.966,176787,4,Do It,62,Erica
0.961,0.617,11,-5.76,1,0.344,0.26,0,0.149,0.734,125.009,161280,4,Step It Up,37,Erica
0.487,0.366,9,-11.536,1,0.0281,0.559,0.00952,0.133,0.118,129.663,267307,4,Light,0,Erica
0.67,0.398,9,-9.14,1,0.0306,0.319,1.13e-4,0.38,0.219,125.983,231429,4,Space Girl,0,Erica
0.73,0.792,6,-5.33,0,0.13,0.0264,0,0.101,0.745,99.039,170158,4,Dance with Me (feat. Thomas Rhett & Young Thug),53,Erica
0.682,0.783,8,-4.997,1,0.18,0.0262,0,0.206,0.323,106.899,216084,4,I Love You's,0,Erica
0.643,0.638,1,-4.947,0,0.0407,0.204,0,0.0707,0.6,82.001,226107,4,Have It All,60,Erica
0.743,0.837,1,-5.025,0,0.0649,0.0172,0,0.0743,0.263,103.072,159863,4,OK Not To Be OK,67,Erica
0.719,0.487,9,-6.21,0,0.0604,0.711,8.36e-5,0.0958,0.345,121.729,301639,4,Tadow,0,Erica
0.489,0.214,0,-13.164,1,0.0456,0.785,7.29e-4,0.123,0.341,85.046,305093,4,Walk on the Wild Side,22,Erica
0.407,0.706,7,-5.526,1,0.0348,0.254,0.00693,0.125,0.54,164.022,361227,4,Can't You See,0,Erica
0.731,0.377,5,-10.851,0,0.205,0.113,0.00952,0.116,0.537,139.889,288183,4,Shyne,24,Erica
0.558,0.889,8,-3.945,1,0.102,0.191,3.87e-4,0.328,0.716,170.102,213547,4,SUPERBLOOM,63,Erica
0.491,0.461,6,-5.646,0,0.0424,0.44,0,0.232,0.32,87.808,200756,4,Never Seen the Rain,51,Erica
0.673,0.687,6,-5.295,0,0.0623,0.269,0,0.181,0.524,96.964,211040,4,Nobody,56,Erica
0.675,0.761,4,-4.469,0,0.0466,0.432,0,0.102,0.428,119.001,199506,4,Dead To Me,73,Erica
0.573,0.584,7,-5.755,0,0.0375,0.414,0.344,0.0994,0.664,84.126,254560,4,One and the Same,0,Erica
0.813,0.497,10,-6.691,0,0.326,0.26,0,0.102,0.86,88.906,186067,4,The Wave,49,Erica
0.796,0.701,2,-3.275,1,0.283,0.308,7.82e-5,0.0516,0.619,100.954,201920,4,Tusa,35,Erica
0.756,0.554,6,-4.24,0,0.0342,0.402,0,0.158,0.596,117.992,221467,4,Bad Child,56,Erica
0.715,0.564,8,-5.56,1,0.0456,0.676,0.0072,0.0854,0.213,104.923,186267,3,I Feel Like I'm Drowning,0,Erica
0.535,0.567,0,-8.209,1,0.0627,0.637,0.0162,0.157,0.186,83.99,217143,4,Sun Will Find You,0,Erica
0.639,0.546,1,-5.382,1,0.0407,0.0837,0,0.122,0.149,122.179,173124,4,Daisies,58,Erica
0.675,0.695,7,-7.859,0,0.0753,0.00383,2.95e-5,0.0637,0.662,92.025,202779,4,i think too much,54,Erica
0.721,0.716,10,-7.037,0,0.0657,0.0334,8.4e-4,0.237,0.667,104.994,221714,4,RITMO (Bad Boys For Life),69,Erica
0.656,0.722,0,-4.726,0,0.0478,0.556,0,0.134,0.301,90.097,208208,4,Underdog,0,Erica
0.497,0.542,5,-7.398,1,0.0315,0.16,1.4e-5,0.084,0.0707,93.57,276400,4,Burn The Ships,0,Erica
0.672,0.755,11,-4.666,0,0.187,0.014,0.826,0.164,0.51,77.549,210596,4,XO Tour Llif3,35,Erica
0.587,0.821,9,-5.041,0,0.0413,0.0536,0,0.0932,0.616,81.985,234567,4,History of Violence,35,Erica
0.59,0.242,10,-11.724,0,0.0516,0.978,1.24e-4,0.0906,0.366,126.721,214174,4,All We Do,56,Erica
0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-5,0.123,0.817,128.977,223480,4,Supalonely,67,Erica
0.636,0.758,0,-5.567,1,0.0427,0.331,1.01e-5,0.16,0.281,97.025,214107,4,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,53,Erica
0.731,0.557,1,-5.752,1,0.0521,0.207,0.00341,0.0989,0.372,145.072,174627,4,Cautious,0,Erica
0.509,0.521,8,-6.349,0,0.08,0.417,0,0.368,0.449,89.946,220236,4,ocean waves,3,Erica
0.74,0.642,9,-6.805,1,0.0291,0.0599,3.71e-5,0.802,0.591,130.03,170538,4,Things Won't Go My Way,39,Erica
0.429,0.553,1,-4.838,0,0.0668,0.458,0,0.0766,0.381,97.954,192456,4,Freaking Me Out,55,Erica
0.693,0.564,1,-3.857,0,0.0378,0.399,0,0.0409,0.574,185.913,210901,3,Good Thing (with Kehlani),64,Erica
0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,202205,5,How Do You Sleep?,70,Erica
0.572,0.742,8,-4.589,0,0.0347,0.245,0,0.108,0.376,127.19,210236,4,Conversations in the Dark - John Legend vs. David Guetta,52,Erica
0.397,0.524,3,-5.846,1,0.103,0.607,0,0.157,0.343,175.562,218854,4,Catching Feelings (feat. Six60),47,Erica
0.734,0.415,1,-8.593,0,0.0305,0.559,0,0.0918,0.364,97.954,137195,4,La La Land - Acoustic,51,Erica
0.756,0.851,2,-3.33,1,0.0674,0.0336,0,0.126,0.934,75.014,200693,4,Runaway,57,Erica
0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4,Don't Start Now,75,Erica
0.824,0.588,6,-6.4,0,0.0924,0.692,1.04e-4,0.149,0.513,98.027,209438,4,Dance Monkey,68,Erica
0.394,0.718,7,-6.336,1,0.0607,0.706,0,0.116,0.247,151.912,158258,4,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",53,Erica
0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-6,0.0904,0.779,110.962,237893,4,Say So,75,Erica
0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893,1,Takeaway (feat. Lennon Stella),0,Erica
0.693,0.678,8,-7.159,1,0.0324,0.0151,5.71e-6,0.101,0.404,103.952,228267,4,Higher Love,72,Erica
0.511,0.747,0,-5.904,1,0.124,0.0393,6.63e-6,0.028,0.564,109.022,229285,4,Something's Got To Give,0,Erica
0.765,0.689,6,-5.616,1,0.0456,0.236,7.39e-6,0.114,0.497,144.958,212850,4,Take It Easy,55,Erica
0.529,0.496,0,-6.668,0,0.151,0.214,0,0.212,0.588,74.619,178747,4,Ready,0,Erica
0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,158571,4,Sunday Best,72,Erica
0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,5,ROXANNE,0,Erica
0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4,The Box,77,Erica
0.705,0.459,5,-6.488,0,0.0604,0.0116,0,0.204,0.181,111.988,216213,4,Deleted,23,Erica
0.494,0.104,10,-25.439,1,0.0323,0.576,0.614,0.0962,0.146,150.081,185374,3,Gumo's Hideout,32,Erica
0.273,0.565,2,-7.283,1,0.248,0.516,1.68e-6,0.0855,0.298,179.518,235226,4,affection,14,Erica
0.581,0.71,2,-5.245,1,0.0348,0.0634,0,0.0732,0.188,106.04,249239,4,Devil In Me,50,Erica
0.751,0.595,9,-5.741,1,0.15,0.0285,0,0.131,0.165,110.991,260552,4,Controls (feat. Lox Chatterbox),37,Erica
0.763,0.527,6,-6.779,1,0.123,0.0562,0.00384,0.0918,0.493,156.047,176080,4,Rooting For You,43,Erica
0.782,0.762,7,-5.437,0,0.035,0.0338,1.73e-5,0.107,0.65,127.049,193987,4,Tempt My Trouble,40,Erica
0.786,0.807,0,-5.344,1,0.0398,0.00496,7.08e-5,0.0552,0.814,92.502,214160,4,Caught in the Middle,57,Erica
0.463,0.924,9,-5.038,1,0.14,0.0038,0,0.127,0.571,163.024,186720,4,Dreaming Out Loud,0,Erica
0.742,0.853,9,-4.147,1,0.0393,0.00743,4.79e-6,0.332,0.95,107.03,208280,4,Faster,48,Erica
0.622,0.85,1,-5.679,1,0.0971,8.99e-4,0,0.326,0.61,155.18,166452,4,Medicine,48,Erica
0.622,0.757,9,-3.497,1,0.053,0.27,0,0.136,0.61,135.126,233483,4,All Or Nothing,31,Erica
0.626,0.571,7,-7.461,0,0.0327,0.25,0,0.0946,0.164,129.959,277623,4,Castle,62,Erica
0.635,0.691,0,-4.862,1,0.258,0.555,0,0.097,0.638,82.142,217419,4,Trumpets,60,Erica
0.61,0.313,5,-13.138,0,0.0323,0.39,0.84,0.0899,0.087,80.009,433613,4,Time for Space,0,Erica
0.551,0.885,1,-3.725,0,0.191,0.00107,0,0.117,0.708,155.923,185747,4,motherlove,39,Erica
0.432,0.225,2,-7.864,1,0.0374,0.912,2.27e-5,0.108,0.0752,130.725,248369,4,Naked,23,Erica
0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,183000,4,Only Human,68,Erica
0.611,0.622,9,-5.075,0,0.0734,0.0188,0,0.359,0.538,146.11,231999,4,Nightmare,63,Erica
0.726,0.763,5,-4.388,0,0.077,0.0607,0,0.161,0.754,95.009,178914,4,S.L.U.T.,39,Erica
0.625,0.753,6,-5.983,0,0.166,0.436,0.00273,0.367,0.539,88.956,223299,4,Coming Down,47,Erica
0.583,0.913,7,-5.945,1,0.0401,0.00205,3.74e-4,0.164,0.659,95.991,230000,4,Boys Aside,0,Erica
0.787,0.655,6,-8.339,0,0.0431,0.238,1.71e-4,0.138,0.65,102.485,208653,4,Upside Down,61,Erica
0.498,0.702,0,-7.833,1,0.0401,0.0193,3.68e-6,0.0669,0.542,79.3,263213,4,Stand Up,56,Erica
0.69,0.714,7,-5.948,1,0.0338,0.0077,7.23e-5,0.191,0.489,112.009,187027,4,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",68,Erica
0.459,0.838,8,-4.73,0,0.0586,0.0281,0,0.0596,0.544,140.002,207288,4,What's It Like,0,Erica
0.133,0.606,0,-5.184,1,0.0429,0.0121,0.0583,0.0902,0.147,181.655,212958,5,Where We Come Alive,0,Erica
0.708,0.729,8,-7.618,1,0.0311,0.0675,0,0.165,0.562,117.003,157436,4,RACECAR,34,Erica
0.606,0.655,6,-6.328,1,0.402,0.139,0,0.103,0.696,159.824,236686,4,Do You Remember,47,Erica
0.774,0.537,1,-6.422,1,0.041,0.247,0,0.112,0.106,110.004,196493,4,Like Water,33,Erica
0.438,0.856,0,-4.158,1,0.0584,0.0268,6.27e-6,0.375,0.49,127.991,224520,4,Hurricane - Arty Remix,50,Erica
0.713,0.666,11,-6.128,1,0.0511,0.2,2.09e-5,0.137,0.277,112.015,209224,4,WESTWORLD,5,Erica
0.571,0.585,9,-8.392,0,0.0494,0.239,1.6e-4,0.133,0.291,113.973,258765,4,Drive,51,Erica
0.654,0.623,6,-5.273,0,0.082,0.253,0,0.144,0.401,123.996,234213,4,Close,65,Erica
0.623,0.843,0,-4.611,1,0.0853,0.0452,3.16e-5,0.0583,0.394,129.99,191400,4,Bad Dream,0,Erica
0.764,0.785,1,-5.486,0,0.259,0.0112,3.47e-6,0.56,0.633,122.872,183532,4,Handle iT,0,Erica
0.738,0.48,2,-7.749,1,0.0535,0.238,2.08e-6,0.314,0.258,90.991,263736,4,Flower Tattoo,12,Erica
0.877,0.558,1,-4.896,1,0.342,0.066,0,0.0745,0.493,157.027,226533,4,Womp Womp,51,Erica
0.698,0.633,8,-4.946,1,0.0597,0.0605,1.94e-4,0.0926,0.552,96.924,232187,4,All The Stars (with SZA),81,Erica
0.708,0.619,6,-9.883,0,0.342,0.483,0,0.0997,0.149,114.045,208421,4,Polyester Poppin',15,Erica
0.577,0.939,1,-1.352,0,0.108,0.0272,0,0.24,0.714,105.092,168613,4,(Fuck A) Silver Lining,50,Erica
0.597,0.768,0,-5.911,1,0.269,0.68,0,0.221,0.494,133.622,172375,4,Sun Lady (feat. Ol' soul & Emma),20,Erica
0.677,0.744,1,-4.512,0,0.0882,0.279,0,0.119,0.531,145.928,204785,4,Hold Me Down,55,Erica
0.564,0.781,0,-5.837,1,0.038,0.019,0,0.362,0.501,93.991,145559,4,Hurt,0,Erica
0.599,0.629,8,-7.493,0,0.349,0.0712,0,0.347,0.39,151.732,238567,4,Long Sun,35,Erica
0.636,0.537,0,-7.436,0,0.288,0.2,0,0.138,0.341,80.011,290869,4,Gold,8,Erica
0.693,0.821,5,-7.411,0,0.193,0.239,0,0.0816,0.729,96,190625,4,Boat to Bermuda,0,Erica
0.486,0.549,11,-10.183,0,0.401,0.0309,0,0.22,0.419,147.79,131274,4,GO FOR IT,15,Erica
0.568,0.861,11,-5.405,0,0.245,0.00184,1.8e-4,0.662,0.39,128.354,143984,4,S4YM,12,Erica
0.424,0.971,2,-4.027,1,0.0891,5.45e-4,0.0475,0.326,0.65,157.954,247760,4,Speed Queen,0,Erica
0.379,0.478,8,-9,0,0.0891,0.503,0,0.201,0.109,120.115,234030,4,Don't,26,Erica
0.628,0.751,1,-7.041,0,0.0991,0.0105,0,0.119,0.44,159.965,222013,3,Face My Fears (English Version),51,Erica
0.37,0.96,3,-4.162,0,0.0378,2.41e-4,0.0116,0.0563,0.717,89.428,224133,4,Welcome to Paradise,64,Erica
0.641,0.914,2,-4.798,1,0.05,0.0799,6.54e-5,0.132,0.723,107.996,208400,4,Just A Girl,0,Erica
0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,169354,4,Let Me Down Slowly,81,Erica
0.837,0.684,4,-10.356,0,0.12,0.1,0,0.114,0.562,120.032,234069,4,Do What You Love,0,Erica
0.679,0.526,4,-7.641,0,0.172,0.197,0,0.0792,0.231,105.133,221714,4,She Bad,0,Erica
0.575,0.758,1,-5.029,0,0.0618,0.0954,0,0.394,0.493,144.107,182623,4,Close To Me (with Diplo) (feat. Swae Lee),60,Erica
0.691,0.716,7,-5.985,1,0.0351,0.0085,9.06e-6,0.263,0.507,112.035,187027,4,Thunderclouds,0,Erica
0.852,0.604,0,-4.569,1,0.0642,0.0503,0,0.327,0.667,94.762,227547,4,It Wasn't Me,56,Erica
0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-6,0.0936,0.533,136.041,201661,4,Without Me,73,Erica
0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,177667,4,3 Nights,71,Erica
0.689,0.679,7,-5.893,1,0.0517,0.195,0.00111,0.224,0.475,149.972,209773,4,La Di Da,54,Erica
0.689,0.412,7,-7.523,0,0.0301,0.488,1.6e-4,0.0659,0.537,126.754,184060,4,Trampoline,60,Erica
0.683,0.562,0,-10.315,0,0.0605,0.086,0.279,0.12,0.149,98.027,229413,4,Better,41,Erica
0.555,0.487,11,-6.48,1,0.0309,0.374,0,0.158,0.576,134.044,198787,4,Come Fly with Me,44,Erica
0.459,0.267,0,-8.948,1,0.0294,0.807,0,0.119,0.342,63.378,229963,4,La vie en rose (feat. Cécile McLorin Salvant),53,Erica
0.782,0.387,0,-11.745,1,0.0748,0.532,0.127,0.114,0.338,79.987,144000,4,Creator,6,Erica
0.628,0.778,9,-5.604,1,0.0519,0.307,0,0.0888,0.576,90.016,385656,4,Just Love Ngayong Christmas,0,Erica
0.701,0.755,2,-5.82,1,0.0417,0.00363,7.95e-4,0.121,0.116,95.036,222307,4,What's Up Danger (with Black Caviar),67,Erica
0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4,Sunflower - Spider-Man: Into the Spider-Verse,79,Erica
0.766,0.881,9,-5.158,0,0.137,0.0166,2.3e-6,0.347,0.674,112.027,174893,5,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",56,Erica
0.724,0.6,10,-4.391,0,0.29,0.141,2.18e-4,0.104,0.466,86.984,196387,4,Invincible,56,Erica
0.728,0.727,2,-3.585,1,0.206,0.0128,0,0.0882,0.89,143.144,171467,4,Start a Riot,62,Erica
0.715,0.639,5,-5.017,0,0.0752,0.0622,0,0.157,0.151,149.996,205800,4,Hide (feat. Seezyn),71,Erica
0.567,0.651,5,-7.146,0,0.0554,0.0519,0,0.183,0.519,93.989,199147,4,Memories,54,Erica
0.871,0.751,6,-8.042,0,0.0788,0.00391,0,0.0853,0.787,139.984,178720,4,Save The Day (feat. Coi Leray & LouGotCash),51,Erica
0.764,0.725,7,-8.812,1,0.0576,0.463,5.91e-6,0.109,0.0794,100.063,177653,4,Let Go,55,Erica
0.443,0.623,0,-6.717,0,0.0718,0.0468,0,0.247,0.156,79.365,233000,4,Scared of the Dark (feat. XXXTENTACION),66,Erica
0.58,0.935,6,-4.847,0,0.293,0.176,0,0.514,0.666,129.173,219400,4,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",58,Erica
0.585,0.941,10,-3.278,0,0.145,0.03,8.41e-6,0.196,0.45,130.024,153773,4,Way Up,56,Erica
0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,211360,4,Home,55,Erica
0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173800,4,Eastside (with Halsey & Khalid),71,Erica
